127.0.0.1 - - [28/Sep/2021:11:56:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Sep/2021:11:56:12 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [28/Sep/2021:11:57:24 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [28/Sep/2021:11:57:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:36:57 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:41:11 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:43:28 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:45:52 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:48:38 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:52:07 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:01:36 +0900] "GET /JSPBook/ch02/expression01.jsp HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:03:29 +0900] "GET /JSPBook/ch02/expression01.jsp HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:10:37 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:12:54 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:13:02 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:13:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:13:29 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 500 2744
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:13:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:13:45 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:13:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:14:06 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:14:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:16:46 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:16:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:21:23 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:21:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:22:40 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:22:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:24:13 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 200 24
